Supplier_ID,Product_Category,Max_Monthly_Capacity_Units,Current_Utilization_Units,Available_Capacity_Units
91209,Consumer_Goods,12043,6899,5144
91209,Pharmaceuticals,5093,4026,1067
1211,Automotive_Parts,16094,12435,3659
1211,Industrial_Equipment,4424,2782,1642
1211,Pharmaceuticals,10573,7645,2928
91211,Apparel,2374,1158,1216
91211,Automotive_Parts,12851,7108,5743
91211,Pharmaceuticals,16403,7667,8736
1212,Pharmaceuticals,17231,7440,9791
1212,Electronics,17168,10460,6708
1212,Apparel,2548,2115,433
91212,Industrial_Equipment,17978,9481,8497
91212,Apparel,11191,7930,3261
91212,Consumer_Goods,16705,10529,6176
1213,Apparel,16275,12053,4222
1213,Automotive_Parts,11127,6846,4281
1213,Pharmaceuticals,19968,15237,4731
91213,Electronics,2757,1604,1153
91213,Food_Beverage,18909,10023,8886
91213,Consumer_Goods,17421,12456,4965
1214,Furniture,13079,5995,7084
1214,Industrial_Equipment,2733,1285,1448
1214,Electronics,18138,14681,3457
91214,Industrial_Equipment,12885,5643,7242
91214,Apparel,6665,2890,3775
91214,Consumer_Goods,3174,2112,1062
1215,Furniture,10007,6656,3351
1215,Pharmaceuticals,19954,14159,5795
1215,Industrial_Equipment,11594,7099,4495
91215,Consumer_Goods,8305,3367,4938
91215,Apparel,5651,3667,1984
91215,Furniture,4261,2364,1897
1216,Electronics,11366,8628,2738
1216,Consumer_Goods,6188,4757,1431
1216,Food_Beverage,6654,2670,3984
91216,Automotive_Parts,16181,12688,3493
91216,Consumer_Goods,15594,12021,3573
91216,Pharmaceuticals,9145,5924,3221
1219,Industrial_Equipment,5627,3645,1982
1219,Consumer_Goods,7798,5721,2077
1219,Electronics,3058,2379,679
91219,Furniture,18914,8141,10773
91219,Food_Beverage,17758,13817,3941
91219,Apparel,10533,4546,5987
1222,Furniture,11202,8571,2631
1222,Electronics,18109,8259,9850
1222,Apparel,4293,2815,1478
91222,Apparel,19093,14218,4875
91222,Electronics,10176,6449,3727
91222,Consumer_Goods,17789,13778,4011
1225,Furniture,13807,5845,7962
1225,Apparel,10866,7727,3139
1225,Pharmaceuticals,18064,14965,3099
91225,Pharmaceuticals,15350,7816,7534
91225,Industrial_Equipment,15604,10872,4732
91225,Automotive_Parts,11753,9877,1876
1226,Food_Beverage,10556,7019,3537
1226,Consumer_Goods,9904,5886,4018
1226,Industrial_Equipment,4639,2448,2191
91226,Pharmaceuticals,4981,3316,1665
91226,Industrial_Equipment,5786,4198,1588
91226,Electronics,5054,2465,2589
1228,Apparel,11395,6199,5196
1228,Food_Beverage,7385,4521,2864
1228,Consumer_Goods,6051,4713,1338
91228,Consumer_Goods,4776,3458,1318
91228,Food_Beverage,4648,2279,2369
91228,Pharmaceuticals,12475,9258,3217
1230,Furniture,8468,5060,3408
1230,Apparel,13023,9642,3381
1230,Pharmaceuticals,5246,2469,2777
91230,Industrial_Equipment,15438,6310,9128
91230,Food_Beverage,12747,7785,4962
91230,Furniture,6916,4619,2297
1231,Furniture,17750,8405,9345
1231,Pharmaceuticals,10864,4601,6263
1231,Food_Beverage,8683,6374,2309
91231,Industrial_Equipment,15954,10220,5734
91231,Food_Beverage,18892,7575,11317
91231,Apparel,2251,1417,834
1232,Industrial_Equipment,13044,6558,6486
1232,Automotive_Parts,8376,4779,3597
1232,Apparel,12659,6127,6532
91232,Electronics,2536,1366,1170
91232,Apparel,16483,12759,3724
91232,Pharmaceuticals,18235,10346,7889
1233,Consumer_Goods,16917,8565,8352
1233,Electronics,7571,4056,3515
1233,Food_Beverage,7334,3068,4266
91233,Apparel,18415,8274,10141
91233,Automotive_Parts,18283,10450,7833
91233,Furniture,10245,6354,3891
1235,Pharmaceuticals,17160,14382,2778
1235,Industrial_Equipment,12884,8982,3902
1235,Apparel,13761,8773,4988
91235,Industrial_Equipment,12513,5258,7255
91235,Automotive_Parts,14683,8654,6029
91235,Apparel,16841,9879,6962
1236,Automotive_Parts,5148,2409,2739
1236,Food_Beverage,12686,8833,3853
1236,Apparel,4979,4213,766
91236,Industrial_Equipment,7015,4851,2164
91236,Apparel,3369,2099,1270
91236,Electronics,2728,1894,834
1237,Furniture,16912,14147,2765
1237,Pharmaceuticals,10069,6908,3161
1237,Automotive_Parts,10265,7757,2508
91237,Consumer_Goods,7043,5276,1767
91237,Apparel,5207,2758,2449
91237,Pharmaceuticals,4017,2571,1446
1239,Pharmaceuticals,19930,8933,10997
1239,Industrial_Equipment,2108,1182,926
1239,Food_Beverage,6884,4237,2647
91239,Pharmaceuticals,15870,6482,9388
91239,Electronics,14116,9572,4544
91239,Apparel,10190,6187,4003
1240,Electronics,9409,4558,4851
1240,Pharmaceuticals,8927,4861,4066
1240,Food_Beverage,15613,10383,5230
91240,Consumer_Goods,4196,1894,2302
91240,Pharmaceuticals,6120,3635,2485
91240,Food_Beverage,7405,3956,3449
1241,Furniture,3525,2066,1459
1241,Industrial_Equipment,19253,15070,4183
1241,Pharmaceuticals,15920,11621,4299
91241,Electronics,14265,7210,7055
91241,Pharmaceuticals,19890,14853,5037
91241,Furniture,11913,6465,5448
1243,Pharmaceuticals,11056,4870,6186
1243,Food_Beverage,2367,1868,499
1243,Consumer_Goods,13991,6486,7505
91243,Automotive_Parts,2533,2141,392
91243,Furniture,14306,8011,6295
91243,Electronics,10882,5698,5184
1244,Food_Beverage,15062,7948,7114
1244,Apparel,5945,4205,1740
1244,Consumer_Goods,3268,1309,1959
91244,Consumer_Goods,15429,11516,3913
91244,Furniture,11327,4655,6672
91244,Automotive_Parts,15033,10773,4260
1245,Food_Beverage,6936,5313,1623
1245,Furniture,3777,2633,1144
1245,Pharmaceuticals,4887,3615,1272
91245,Apparel,12365,6634,5731
91245,Industrial_Equipment,3552,1680,1872
91245,Electronics,17774,10022,7752
1247,Industrial_Equipment,16784,7310,9474
1247,Food_Beverage,17004,7378,9626
1247,Automotive_Parts,10806,7618,3188
91247,Pharmaceuticals,19662,13810,5852
91247,Industrial_Equipment,11757,7378,4379
91247,Furniture,15843,12844,2999
1250,Electronics,6238,3889,2349
1250,Consumer_Goods,19478,9568,9910
1250,Apparel,15136,7493,7643
91250,Furniture,5272,2895,2377
91250,Electronics,2226,1514,712
91250,Food_Beverage,9152,7462,1690
1251,Automotive_Parts,14598,7953,6645
1251,Pharmaceuticals,18878,9401,9477
1251,Food_Beverage,17428,7805,9623
91251,Food_Beverage,7465,5254,2211
91251,Electronics,14983,8171,6812
91251,Apparel,10406,5505,4901
1252,Pharmaceuticals,10038,6328,3710
1252,Furniture,7098,5837,1261
1252,Electronics,5876,4038,1838
91252,Consumer_Goods,13211,10334,2877
91252,Food_Beverage,17659,8614,9045
91252,Industrial_Equipment,7956,4131,3825
1258,Automotive_Parts,7867,4107,3760
1258,Furniture,14669,6217,8452
1258,Apparel,13673,7563,6110
91258,Apparel,5976,2930,3046
91258,Consumer_Goods,4231,2594,1637
91258,Electronics,2016,841,1175
1259,Automotive_Parts,18531,9205,9326
1259,Apparel,15514,9442,6072
1259,Consumer_Goods,7580,5912,1668
91259,Furniture,4240,2491,1749
91259,Industrial_Equipment,16247,12947,3300
91259,Pharmaceuticals,17661,7917,9744
1261,Consumer_Goods,14350,11657,2693
1261,Pharmaceuticals,9339,4084,5255
1261,Industrial_Equipment,10185,6728,3457
91261,Electronics,8126,6449,1677
91261,Automotive_Parts,14478,6817,7661
91261,Industrial_Equipment,6926,3725,3201
1263,Electronics,13882,6441,7441
1263,Food_Beverage,2689,1235,1454
1263,Industrial_Equipment,4004,1741,2263
91263,Consumer_Goods,2838,2105,733
91263,Food_Beverage,8113,6884,1229
91263,Industrial_Equipment,15268,8497,6771
1264,Automotive_Parts,17418,12677,4741
1264,Electronics,2093,1067,1026
1264,Apparel,10489,7627,2862
91264,Pharmaceuticals,14034,8141,5893
91264,Consumer_Goods,5028,3198,1830
91264,Industrial_Equipment,10612,7949,2663
1267,Automotive_Parts,8161,4636,3525
1267,Furniture,6649,3548,3101
1267,Food_Beverage,4410,1935,2475
91267,Automotive_Parts,8235,6234,2001
91267,Furniture,10324,6972,3352
91267,Pharmaceuticals,6426,5176,1250
1278,Electronics,8205,5461,2744
1278,Pharmaceuticals,3041,1419,1622
1278,Automotive_Parts,11119,6683,4436
91278,Industrial_Equipment,13024,5620,7404
91278,Pharmaceuticals,15814,12049,3765
91278,Apparel,8058,4163,3895
1279,Food_Beverage,7696,6251,1445
1279,Electronics,4232,2143,2089
1279,Consumer_Goods,8178,6617,1561
91279,Industrial_Equipment,2891,1327,1564
91279,Automotive_Parts,7261,3588,3673
91279,Food_Beverage,13490,6765,6725
1280,Furniture,3288,1369,1919
1280,Industrial_Equipment,11461,7767,3694
1280,Automotive_Parts,9977,7891,2086
91280,Electronics,11536,6504,5032
91280,Furniture,5502,4488,1014
91280,Industrial_Equipment,10685,6893,3792
1286,Food_Beverage,3173,2600,573
1286,Automotive_Parts,7802,4889,2913
1286,Industrial_Equipment,11029,8987,2042
91286,Consumer_Goods,6904,4808,2096
91286,Apparel,3530,1752,1778
91286,Pharmaceuticals,12253,8812,3441
1287,Electronics,2079,1249,830
1287,Automotive_Parts,19095,8282,10813
1287,Consumer_Goods,2109,1252,857
91287,Food_Beverage,13798,7435,6363
91287,Electronics,13740,11161,2579
91287,Automotive_Parts,19957,13239,6718
1288,Food_Beverage,7740,5706,2034
1288,Automotive_Parts,8305,5880,2425
1288,Furniture,4462,2770,1692
91288,Food_Beverage,19196,10406,8790
91288,Electronics,6197,3001,3196
91288,Consumer_Goods,5266,3241,2025
1291,Consumer_Goods,9863,4871,4992
1291,Industrial_Equipment,9783,5949,3834
1291,Furniture,2829,2168,661
91291,Industrial_Equipment,12704,7575,5129
91291,Electronics,9307,5890,3417
91291,Food_Beverage,12422,8775,3647
1295,Industrial_Equipment,9704,3951,5753
1295,Pharmaceuticals,5986,3742,2244
1295,Furniture,6254,4022,2232
91295,Pharmaceuticals,6943,4854,2089
91295,Industrial_Equipment,8760,5125,3635
91295,Automotive_Parts,14672,8524,6148
1296,Industrial_Equipment,16162,13075,3087
1296,Furniture,5327,2848,2479
1296,Apparel,12685,8968,3717
91296,Apparel,16877,7310,9567
91296,Industrial_Equipment,9245,4209,5036
91296,Pharmaceuticals,2193,1031,1162
1297,Electronics,6948,4120,2828
1297,Pharmaceuticals,6907,3699,3208
1297,Food_Beverage,9107,4207,4900
91297,Pharmaceuticals,15957,7831,8126
91297,Consumer_Goods,8666,6607,2059
91297,Electronics,15164,6920,8244
1298,Industrial_Equipment,10334,7064,3270
1298,Electronics,13044,6853,6191
1298,Apparel,2418,1517,901
91298,Automotive_Parts,15953,11135,4818
91298,Food_Beverage,18388,9782,8606
91298,Electronics,4074,2065,2009
1299,Furniture,9801,4998,4803
1299,Apparel,11381,7545,3836
1299,Pharmaceuticals,14525,9204,5321
91299,Food_Beverage,14247,8183,6064
91299,Pharmaceuticals,17999,8412,9587
91299,Apparel,8542,5710,2832
1300,Consumer_Goods,17477,13640,3837
1300,Automotive_Parts,16940,12074,4866
1300,Food_Beverage,3962,2286,1676
91300,Automotive_Parts,7049,4221,2828
91300,Food_Beverage,11418,8122,3296
91300,Pharmaceuticals,6836,4213,2623
1303,Electronics,17998,13616,4382
1303,Furniture,14816,7849,6967
1303,Apparel,10978,5279,5699
91303,Industrial_Equipment,12298,9786,2512
91303,Food_Beverage,11226,7938,3288
91303,Apparel,4190,2084,2106
1305,Apparel,8973,7389,1584
1305,Consumer_Goods,17695,13566,4129
1305,Electronics,7831,5771,2060
91305,Consumer_Goods,9342,5374,3968
91305,Electronics,13844,7255,6589
91305,Furniture,4897,3897,1000
1308,Pharmaceuticals,5890,3641,2249
1308,Apparel,7775,4113,3662
1308,Food_Beverage,14899,11039,3860
91308,Consumer_Goods,6516,4456,2060
91308,Industrial_Equipment,13627,7681,5946
91308,Furniture,4767,3460,1307
1310,Consumer_Goods,17450,7398,10052
1310,Furniture,6412,5403,1009
1310,Industrial_Equipment,12713,8125,4588
91310,Electronics,16095,11186,4909
91310,Pharmaceuticals,13831,6950,6881
91310,Industrial_Equipment,14440,10596,3844
1313,Pharmaceuticals,6100,3089,3011
1313,Apparel,9784,4983,4801
1313,Furniture,17456,9817,7639
91313,Apparel,4863,3009,1854
91313,Industrial_Equipment,12276,6212,6064
91313,Consumer_Goods,6386,2580,3806
1315,Furniture,2560,1739,821
1315,Automotive_Parts,12320,5320,7000
1315,Electronics,13279,7206,6073
91315,Furniture,9415,5736,3679
91315,Consumer_Goods,11231,8595,2636
91315,Food_Beverage,5749,4664,1085
1317,Furniture,7593,3586,4007
1317,Food_Beverage,6408,3522,2886
1317,Electronics,7529,5156,2373
91317,Apparel,3855,1553,2302
91317,Pharmaceuticals,8167,5853,2314
91317,Furniture,17389,9736,7653
1318,Automotive_Parts,5031,3079,1952
1318,Consumer_Goods,19941,13497,6444
1318,Pharmaceuticals,8357,4163,4194
91318,Pharmaceuticals,4999,2098,2901
91318,Consumer_Goods,13767,10301,3466
91318,Automotive_Parts,9912,6867,3045
1319,Food_Beverage,6229,3982,2247
1319,Industrial_Equipment,3388,2462,926
1319,Consumer_Goods,5678,2774,2904
91319,Electronics,10760,7213,3547
91319,Food_Beverage,19260,15673,3587
91319,Automotive_Parts,9874,7681,2193
1320,Furniture,13430,9053,4377
1320,Pharmaceuticals,16197,8826,7371
1320,Food_Beverage,9827,6548,3279
91320,Furniture,17329,7293,10036
91320,Electronics,16065,10871,5194
91320,Pharmaceuticals,11446,5599,5847
1321,Furniture,17921,13321,4600
1321,Food_Beverage,4319,2020,2299
1321,Automotive_Parts,6333,3434,2899
91321,Automotive_Parts,19980,10056,9924
91321,Furniture,16579,7818,8761
91321,Pharmaceuticals,16951,14257,2694
1322,Furniture,12054,5474,6580
1322,Consumer_Goods,11706,6129,5577
1322,Apparel,16702,10809,5893
91322,Consumer_Goods,2998,1426,1572
91322,Furniture,15045,8062,6983
91322,Pharmaceuticals,4901,2280,2621
1323,Apparel,13224,7416,5808
1323,Automotive_Parts,8963,5614,3349
1323,Food_Beverage,6972,3712,3260
91323,Automotive_Parts,11103,9359,1744
91323,Apparel,13045,8082,4963
91323,Food_Beverage,6019,2812,3207
1325,Electronics,5140,3400,1740
1325,Automotive_Parts,9817,4154,5663
1325,Furniture,9500,7788,1712
91325,Electronics,9493,7801,1692
91325,Automotive_Parts,16945,9921,7024
91325,Consumer_Goods,7228,5359,1869
1326,Pharmaceuticals,19906,12939,6967
1326,Industrial_Equipment,2268,1563,705
1326,Automotive_Parts,14408,11131,3277
91326,Industrial_Equipment,7302,2995,4307
91326,Apparel,17791,13725,4066
91326,Food_Beverage,13059,7871,5188
1329,Food_Beverage,11179,8680,2499
1329,Apparel,8281,5593,2688
1329,Industrial_Equipment,5091,3762,1329
91329,Food_Beverage,18675,12524,6151
91329,Electronics,16633,7055,9578
91329,Automotive_Parts,15800,9918,5882
1332,Food_Beverage,9769,6344,3425
1332,Furniture,16348,6847,9501
1332,Consumer_Goods,11945,7140,4805
91332,Electronics,19578,10471,9107
91332,Apparel,18741,9347,9394
91332,Food_Beverage,5153,3169,1984
1333,Automotive_Parts,2997,1252,1745
1333,Furniture,17419,13573,3846
1333,Food_Beverage,6093,4141,1952
91333,Consumer_Goods,18729,10282,8447
91333,Pharmaceuticals,7802,6266,1536
91333,Electronics,17028,10514,6514
1334,Food_Beverage,13851,6088,7763
1334,Furniture,19681,9797,9884
1334,Pharmaceuticals,10530,4509,6021
91334,Pharmaceuticals,12611,7627,4984
91334,Electronics,3405,2880,525
91334,Automotive_Parts,7431,6114,1317
1337,Pharmaceuticals,13679,9986,3693
1337,Food_Beverage,11023,8111,2912
1337,Electronics,8594,3917,4677
91337,Industrial_Equipment,13262,10301,2961
91337,Automotive_Parts,18980,9081,9899
91337,Furniture,2843,1199,1644
1338,Food_Beverage,11075,7062,4013
1338,Consumer_Goods,10026,5747,4279
1338,Apparel,13842,5556,8286
91338,Consumer_Goods,17591,7215,10376
91338,Automotive_Parts,15118,12135,2983
91338,Apparel,11548,7594,3954
1341,Consumer_Goods,4203,2957,1246
1341,Food_Beverage,4141,3471,670
1341,Apparel,17846,10696,7150
91341,Automotive_Parts,11771,6071,5700
91341,Apparel,14481,6901,7580
91341,Industrial_Equipment,5098,3092,2006
1342,Industrial_Equipment,2937,2403,534
1342,Apparel,4791,2074,2717
1342,Automotive_Parts,3313,1997,1316
91342,Industrial_Equipment,18397,10709,7688
91342,Apparel,12390,7047,5343
91342,Furniture,10077,4202,5875
1343,Food_Beverage,3842,2506,1336
1343,Electronics,17729,7912,9817
1343,Automotive_Parts,3777,2327,1450
91343,Pharmaceuticals,2080,1012,1068
91343,Furniture,3648,2772,876
91343,Consumer_Goods,6246,5071,1175
1349,Apparel,14824,10111,4713
1349,Furniture,15095,6769,8326
1349,Automotive_Parts,5314,3172,2142
91349,Automotive_Parts,7278,3913,3365
91349,Food_Beverage,18243,11079,7164
91349,Pharmaceuticals,6703,4651,2052
1350,Furniture,3852,2965,887
1350,Pharmaceuticals,3665,1568,2097
1350,Electronics,10627,5485,5142
91350,Electronics,17764,11918,5846
91350,Industrial_Equipment,8339,4936,3403
91350,Pharmaceuticals,9612,4683,4929
1351,Automotive_Parts,4787,3822,965
1351,Industrial_Equipment,17028,7192,9836
1351,Consumer_Goods,8632,4726,3906
91351,Food_Beverage,10827,8990,1837
91351,Industrial_Equipment,13831,10668,3163
91351,Apparel,17754,13970,3784
1352,Automotive_Parts,12392,8970,3422
1352,Food_Beverage,15366,11203,4163
1352,Furniture,5200,4320,880
91352,Automotive_Parts,8810,4315,4495
91352,Apparel,16096,12124,3972
91352,Furniture,4021,2612,1409
1353,Industrial_Equipment,7977,4800,3177
1353,Consumer_Goods,11755,8236,3519
1353,Automotive_Parts,17527,13023,4504
91353,Industrial_Equipment,6345,3286,3059
91353,Consumer_Goods,17004,11040,5964
91353,Automotive_Parts,3666,2478,1188
1358,Furniture,2220,1519,701
1358,Consumer_Goods,2677,1425,1252
1358,Industrial_Equipment,19976,9643,10333
91358,Industrial_Equipment,6516,3623,2893
91358,Pharmaceuticals,7133,3960,3173
91358,Apparel,13487,7798,5689
1359,Electronics,9323,5105,4218
1359,Pharmaceuticals,10905,7474,3431
1359,Furniture,3556,2804,752
91359,Furniture,4635,3110,1525
91359,Electronics,6554,3912,2642
91359,Automotive_Parts,18582,10307,8275
1360,Industrial_Equipment,6441,3042,3399
1360,Pharmaceuticals,9283,6953,2330
1360,Automotive_Parts,8440,6015,2425
91360,Food_Beverage,6988,3863,3125
91360,Consumer_Goods,14546,11504,3042
91360,Automotive_Parts,2762,1828,934
1362,Pharmaceuticals,15021,11069,3952
1362,Automotive_Parts,4292,2110,2182
1362,Industrial_Equipment,13991,11345,2646
91362,Automotive_Parts,13716,11068,2648
91362,Consumer_Goods,7321,4890,2431
91362,Industrial_Equipment,18709,10991,7718
1363,Automotive_Parts,13602,5913,7689
1363,Pharmaceuticals,17267,13901,3366
1363,Furniture,4559,3638,921
91363,Apparel,16113,12450,3663
91363,Automotive_Parts,2421,1126,1295
91363,Food_Beverage,7682,6519,1163
1364,Furniture,13703,9685,4018
1364,Consumer_Goods,7355,5330,2025
1364,Electronics,6601,3283,3318
91364,Apparel,14540,10941,3599
91364,Industrial_Equipment,19159,9715,9444
91364,Pharmaceuticals,5401,4053,1348
1366,Electronics,10199,8348,1851
1366,Apparel,5829,3348,2481
1366,Pharmaceuticals,12113,10178,1935
91366,Electronics,9409,5085,4324
91366,Furniture,7397,5248,2149
91366,Pharmaceuticals,7862,3289,4573
1367,Automotive_Parts,8915,4153,4762
1367,Consumer_Goods,4180,3043,1137
1367,Pharmaceuticals,11949,6686,5263
91367,Food_Beverage,16726,8704,8022
91367,Apparel,3973,2181,1792
91367,Electronics,15944,7731,8213
1369,Automotive_Parts,2562,2131,431
1369,Consumer_Goods,10208,5706,4502
1369,Industrial_Equipment,4659,2670,1989
91369,Pharmaceuticals,2109,1728,381
91369,Industrial_Equipment,4387,3631,756
91369,Food_Beverage,13627,10463,3164
1370,Apparel,8431,5052,3379
1370,Pharmaceuticals,16599,9828,6771
1370,Food_Beverage,13844,10095,3749
91370,Electronics,5675,4680,995
91370,Apparel,15693,7189,8504
91370,Consumer_Goods,4799,3672,1127
1371,Industrial_Equipment,19289,10063,9226
1371,Electronics,6372,3558,2814
1371,Furniture,16879,10833,6046
91371,Food_Beverage,12340,9086,3254
91371,Electronics,18103,14830,3273
91371,Pharmaceuticals,5141,3283,1858
1372,Electronics,5454,2337,3117
1372,Apparel,13537,6089,7448
1372,Food_Beverage,14335,6419,7916
91372,Industrial_Equipment,16575,12568,4007
91372,Automotive_Parts,10340,6548,3792
91372,Consumer_Goods,4545,2015,2530
1374,Industrial_Equipment,19000,9376,9624
1374,Consumer_Goods,18426,8434,9992
1374,Automotive_Parts,14292,7064,7228
91374,Electronics,19979,8224,11755
91374,Consumer_Goods,3594,2004,1590
91374,Pharmaceuticals,2005,1132,873
1375,Electronics,17849,8289,9560
1375,Food_Beverage,13271,9762,3509
1375,Automotive_Parts,9417,5091,4326
91375,Furniture,7821,6156,1665
91375,Consumer_Goods,8384,6991,1393
91375,Industrial_Equipment,6509,3500,3009
1376,Consumer_Goods,5081,3191,1890
1376,Electronics,13014,8871,4143
1376,Apparel,4028,3197,831
91376,Automotive_Parts,9200,6933,2267
91376,Electronics,4861,2165,2696
91376,Pharmaceuticals,12646,8115,4531
1377,Pharmaceuticals,3982,3350,632
1377,Industrial_Equipment,13174,6412,6762
1377,Electronics,5168,2405,2763
91377,Industrial_Equipment,6492,3851,2641
91377,Pharmaceuticals,10126,5334,4792
91377,Food_Beverage,14123,11465,2658
1378,Automotive_Parts,19182,14669,4513
1378,Apparel,15136,11785,3351
1378,Industrial_Equipment,8176,5179,2997
91378,Automotive_Parts,15538,8297,7241
91378,Industrial_Equipment,5939,3362,2577
91378,Pharmaceuticals,12920,5174,7746
1379,Industrial_Equipment,12771,8555,4216
1379,Electronics,2738,1452,1286
1379,Food_Beverage,11911,9971,1940
91379,Food_Beverage,10186,5393,4793
91379,Consumer_Goods,19499,10872,8627
91379,Furniture,3158,1513,1645
1384,Apparel,7449,4095,3354
1384,Consumer_Goods,8207,3834,4373
1384,Automotive_Parts,14066,11509,2557
91384,Automotive_Parts,5144,4216,928
91384,Industrial_Equipment,15603,10891,4712
91384,Apparel,6448,3032,3416
1386,Apparel,4664,1904,2760
1386,Consumer_Goods,14332,11296,3036
1386,Furniture,11022,6025,4997
91386,Electronics,14181,11101,3080
91386,Food_Beverage,15008,10718,4290
91386,Furniture,15538,8904,6634
1387,Pharmaceuticals,14900,12333,2567
1387,Automotive_Parts,5741,3057,2684
1387,Furniture,12235,7589,4646
91387,Industrial_Equipment,16240,10768,5472
91387,Pharmaceuticals,12345,8103,4242
91387,Consumer_Goods,2169,1486,683
1388,Electronics,12340,7573,4767
1388,Consumer_Goods,19676,8466,11210
1388,Food_Beverage,11569,9298,2271
91388,Consumer_Goods,12017,5118,6899
91388,Automotive_Parts,10563,6265,4298
91388,Food_Beverage,12763,9177,3586
1389,Pharmaceuticals,7164,4966,2198
1389,Electronics,9878,4959,4919
1389,Furniture,13288,7948,5340
91389,Electronics,3237,1939,1298
91389,Furniture,6992,4815,2177
91389,Industrial_Equipment,7611,5149,2462
1390,Furniture,15227,11358,3869
1390,Industrial_Equipment,3463,1858,1605
1390,Electronics,3061,1804,1257
91390,Furniture,3280,1479,1801
91390,Consumer_Goods,9541,4943,4598
91390,Apparel,14036,10107,3929
1393,Apparel,9046,6862,2184
1393,Automotive_Parts,13347,7594,5753
1393,Electronics,16111,10959,5152
91393,Consumer_Goods,3462,2061,1401
91393,Food_Beverage,7041,5615,1426
91393,Apparel,5289,3174,2115
1394,Apparel,7197,3535,3662
1394,Consumer_Goods,14718,11182,3536
1394,Food_Beverage,18413,8469,9944
91394,Consumer_Goods,2277,1452,825
91394,Furniture,4263,2107,2156
91394,Industrial_Equipment,4340,3095,1245
1397,Apparel,13829,10710,3119
1397,Industrial_Equipment,19450,15384,4066
1397,Consumer_Goods,13073,7356,5717
91397,Pharmaceuticals,18268,8662,9606
91397,Apparel,19777,14624,5153
91397,Food_Beverage,12405,7027,5378
1399,Industrial_Equipment,5119,3392,1727
1399,Consumer_Goods,17373,7067,10306
1399,Food_Beverage,9570,4128,5442
91399,Apparel,18056,11655,6401
91399,Pharmaceuticals,3534,2263,1271
91399,Furniture,3900,3061,839
1400,Industrial_Equipment,4230,3406,824
1400,Furniture,14005,5940,8065
1400,Electronics,17373,13388,3985
91400,Furniture,15654,10039,5615
91400,Food_Beverage,3608,2910,698
91400,Electronics,9461,7357,2104
1402,Consumer_Goods,15900,10298,5602
1402,Furniture,7766,5503,2263
1402,Electronics,19694,8800,10894
91402,Apparel,19941,8858,11083
91402,Automotive_Parts,19540,14528,5012
91402,Consumer_Goods,3805,1632,2173
1403,Apparel,16408,13072,3336
1403,Electronics,15857,8644,7213
1403,Industrial_Equipment,13709,11074,2635
91403,Furniture,17955,12682,5273
91403,Automotive_Parts,15794,7425,8369
91403,Apparel,18122,15014,3108
1407,Consumer_Goods,18453,10542,7911
1407,Industrial_Equipment,6285,4325,1960
1407,Furniture,14952,11281,3671
91407,Apparel,3217,1551,1666
91407,Food_Beverage,18823,15734,3089
91407,Automotive_Parts,19171,16014,3157
1409,Food_Beverage,15674,11579,4095
1409,Apparel,5514,3717,1797
1409,Electronics,3546,1646,1900
91409,Pharmaceuticals,2956,1288,1668
91409,Furniture,6444,4736,1708
91409,Consumer_Goods,18396,15072,3324
1420,Consumer_Goods,8451,5724,2727
1420,Industrial_Equipment,13586,9996,3590
1420,Pharmaceuticals,8328,6334,1994
91420,Furniture,11486,5749,5737
91420,Food_Beverage,8564,6153,2411
91420,Electronics,2676,1731,945
1422,Industrial_Equipment,19919,16880,3039
1422,Food_Beverage,5299,4184,1115
1422,Automotive_Parts,10369,5284,5085
91422,Electronics,16663,12752,3911
91422,Industrial_Equipment,19976,15361,4615
91422,Food_Beverage,10334,7345,2989
1423,Apparel,15894,10831,5063
1423,Electronics,13887,11224,2663
1423,Automotive_Parts,11348,7907,3441
91423,Pharmaceuticals,12894,9568,3326
91423,Furniture,15246,9588,5658
91423,Automotive_Parts,12158,8840,3318
1425,Consumer_Goods,3125,2311,814
1425,Industrial_Equipment,16682,7233,9449
1425,Food_Beverage,11247,7935,3312
91425,Pharmaceuticals,16288,8715,7573
91425,Furniture,9539,5321,4218
91425,Industrial_Equipment,5634,3293,2341
1427,Consumer_Goods,14976,7162,7814
1427,Pharmaceuticals,10164,4790,5374
1427,Automotive_Parts,8591,6091,2500
91427,Consumer_Goods,16252,11407,4845
91427,Automotive_Parts,17907,9845,8062
91427,Apparel,7370,5114,2256
1428,Apparel,17731,11182,6549
1428,Food_Beverage,17921,8768,9153
1428,Pharmaceuticals,10520,5992,4528
91428,Consumer_Goods,12213,7425,4788
91428,Automotive_Parts,3897,3209,688
91428,Industrial_Equipment,18005,8980,9025
1429,Consumer_Goods,19907,15699,4208
1429,Electronics,3802,1950,1852
1429,Furniture,2426,1017,1409
91429,Pharmaceuticals,11246,7304,3942
91429,Food_Beverage,18846,12640,6206
91429,Industrial_Equipment,6544,2707,3837
1431,Apparel,14114,7754,6360
1431,Consumer_Goods,8667,6257,2410
1431,Industrial_Equipment,16872,7722,9150
91431,Apparel,7209,3271,3938
91431,Consumer_Goods,10511,4987,5524
91431,Food_Beverage,4789,2945,1844
1435,Consumer_Goods,14824,7804,7020
1435,Furniture,5684,2845,2839
1435,Pharmaceuticals,7608,5731,1877
91435,Automotive_Parts,2756,1425,1331
91435,Consumer_Goods,10617,8273,2344
91435,Food_Beverage,4844,2122,2722
1437,Furniture,11319,8843,2476
