Shipment_ID,Supplier_ID,Supplier_Rating,Supplier_Country,Destination_Country,Shipping_Mode,Carrier,Warehouse,Historical_Delay_Count,Inventory_Level,Demand_Forecast,Weather_Severity,Holiday_Impact,Traffic_Index,Fuel_Price,Port_Congestion,Distance,Purchase_Order_Value,Order_Priority,Customer_Type,Packaging_Type,Vehicle_Availability,Production_Status,Quality_Score,Inspection_Delay,Customs_Clearance_Time,Container_Type,Shipment_Weight,Shipment_Volume,Temperature_Sensitive,Fragile,Route_Risk,Carbon_Emission,Supplier_OnTime_Rate,Market_Demand_Index,Geopolitical_Risk,Economic_Index,Order_Date,Expected_Lead_Time,Lead_Time,Inventory_Days,Transportation_Cost,Late_Delivery_Cost,Supplier_Risk,Month,Quarter,Week,Year,Delay,Product_Category,Units
SHP-114753,1171,3.73,Brazil,Australia,Road,Expeditors,WH-015,1,3912,5214,2.42,0,5.77,3.31,,3518.5,3629.44,Low,Enterprise,Bulk,55.3,Delayed,94.5,0.36,3.53,20ft Dry,4403.9,2.64,1,0,1.65,516.98,1.0,51.7,0.38,102.3,2022-10-06,9.0,12.6,22.5,308.42,103.43,Low,10,4,40,2022,0,Automotive_Parts,3538
SHP-104519,1443,3.78,South Korea,UAE,Sea,Expeditors,WH-017,3,4391,3694,2.46,1,6.69,5.52,1.88,8802.8,3774.7,Low,Enterprise,Pallet,82.6,On Schedule,94.0,0.67,3.41,Reefer,191.5,3.51,0,0,0.59,481.78,0.678,66.5,4.72,96.3,2021-06-03,30.1,35.9,35.7,360.4,111.53,Medium,6,2,22,2021,0,Furniture,108
SHP-103024,1437,4.08,India,Germany,Sea,CMA CGM,WH-018,2,1064,3131,0.52,1,3.63,4.09,2.05,5578.1,9262.85,High,Retail,Carton,82.5,On Schedule,96.5,0.14,1.06,40ft Dry,200.17,15.03,1,1,3.05,544.4,0.731,49.3,10.0,97.2,2021-02-12,29.7,37.7,10.2,170.16,202.27,Low,2,1,6,2021,0,Automotive_Parts,168
SHP-112121,1211,3.02,China,UAE,Road,CMA CGM,WH-002,2,4401,133,2.72,1,6.43,3.08,1.53,6099.1,51626.53,Low,Retail,Bulk,86.6,Ahead of Schedule,82.7,0.64,2.38,Flat Rack,421.17,20.45,1,0,2.1,170.21,0.735,76.9,0.66,91.4,2022-10-31,9.2,12.5,365.0,340.66,1066.6,Medium,10,4,44,2022,0,Electronics,413
SHP-118494,1002,3.72,South Korea,UAE,Sea,DHL,WH-020,1,885,3421,0.65,1,4.94,4.58,1.17,1350.5,8595.06,Low,Wholesale,Crate,78.8,On Schedule,100.0,3.26,0.19,Open Top,1096.78,24.48,0,0,1.21,304.82,1.0,50.3,2.48,94.0,2022-07-26,32.9,31.8,7.8,60.25,177.93,Low,7,3,30,2022,0,Pharmaceuticals,1843
SHP-105483,1451,3.36,China,Canada,Sea,FedEx,WH-001,1,148,227,0.87,0,1.04,3.62,2.18,3898.9,15610.54,Critical,Government,Bulk,72.3,On Schedule,91.9,0.5,0.47,Open Top,588.76,1.96,0,1,0.89,313.85,0.803,43.0,0.49,81.5,2022-12-10,28.2,27.5,19.6,110.05,323.22,Medium,12,4,49,2022,0,Food_Beverage,786
SHP-101419,1154,3.57,Japan,Netherlands,Road,FedEx,WH-010,3,1594,666,4.16,0,7.11,3.7,3.43,3109.5,10854.89,High,Government,Drum,64.7,On Schedule,91.6,0.6,3.61,Open Top,4858.34,4.76,0,1,0.36,436.58,0.769,46.0,1.91,85.5,2023-08-24,4.0,10.8,71.8,329.92,250.09,Medium,8,3,34,2023,1,Apparel,3778
SHP-106209,1081,4.62,India,USA,Road,CMA CGM,WH-003,1,2307,2944,9.88,1,3.45,3.36,1.71,1899.9,8715.14,High,Retail,Bulk,81.3,Delayed,85.5,1.16,2.94,40ft Dry,443.4,15.73,0,0,4.11,579.89,0.775,39.9,7.56,109.5,2021-08-07,7.5,26.4,23.5,123.17,186.62,Low,8,3,31,2021,1,Pharmaceuticals,599
SHP-110742,1140,3.19,Germany,Japan,Air,DHL,WH-001,2,333,5009,3.34,0,6.16,3.34,5.27,3721.3,4406.86,High,Wholesale,Drum,62.6,On Schedule,100.0,0.5,0.83,Open Top,2899.72,5.49,0,1,0.24,277.92,0.788,48.5,0.72,119.6,2024-10-14,3.2,8.1,2.0,1078.89,196.03,Medium,10,4,42,2024,1,Apparel,918
SHP-116143,1384,3.78,Vietnam,India,Road,CMA CGM,WH-012,4,4235,5246,0.55,0,6.38,4.57,6.35,6274.0,7155.17,High,Retail,Bulk,66.5,On Schedule,84.2,1.17,2.43,Flat Rack,356.43,5.43,0,1,2.76,746.47,0.866,42.8,1.33,126.2,2023-06-21,4.0,10.2,24.2,517.48,194.85,Low,6,2,25,2023,1,Industrial_Equipment,100
SHP-117617,1215,4.05,Mexico,India,Sea,Expeditors,WH-020,1,3806,1370,0.76,0,6.75,3.47,0.23,1028.0,12126.45,High,Government,Carton,,Delayed,76.6,0.8,1.53,Reefer,1020.73,13.6,0,0,2.78,572.7,0.741,49.6,1.67,86.0,2022-03-06,22.9,23.9,83.3,36.65,246.19,Low,3,1,9,2022,0,Pharmaceuticals,449
SHP-114568,1083,4.09,Mexico,Canada,Sea,Kuehne+Nagel,WH-002,1,3665,679,5.21,0,4.69,3.27,4.45,1261.2,93337.6,High,Government,Drum,81.2,Ahead of Schedule,80.5,1.34,0.26,Open Top,210.0,0.84,0,1,1.74,671.59,0.601,35.9,1.03,97.7,2022-03-13,26.6,36.1,161.9,32.34,1869.99,Medium,3,1,10,2022,0,Automotive_Parts,109
SHP-100980,1175,4.33,USA,India,Road,CMA CGM,WH-014,4,1379,4406,2.19,0,2.86,3.44,1.09,8251.5,38780.34,Medium,Enterprise,Bulk,73.9,On Schedule,77.4,0.95,0.55,Flat Rack,178.61,6.87,0,0,4.72,528.49,0.804,32.6,2.61,109.0,2022-08-17,8.1,12.7,9.4,505.25,826.13,Low,8,3,33,2022,1,Apparel,64
SHP-102783,1360,4.1,Germany,UK,Sea,DHL,WH-019,1,1818,3334,3.11,0,6.16,3.44,2.4,416.1,6550.97,Critical,Wholesale,Drum,75.4,On Schedule,88.3,2.04,0.08,Reefer,1155.04,45.39,0,0,0.88,404.36,0.814,40.6,0.66,123.2,2024-01-28,10.2,12.6,16.4,22.21,133.24,Low,1,1,4,2024,0,Consumer_Goods,260
SHP-107713,1176,5.0,Brazil,Canada,Sea,DB Schenker,WH-015,5,4377,2385,1.55,0,4.83,2.9,0.51,6356.3,6609.66,Medium,Government,Pallet,85.8,On Schedule,100.0,1.32,4.24,40ft Dry,2679.57,2.12,0,1,3.34,695.23,0.841,40.0,10.0,80.3,2022-11-19,21.3,30.4,55.1,158.39,148.03,Low,11,4,46,2022,1,Industrial_Equipment,619
SHP-111518,1078,2.31,Japan,UAE,Sea,CMA CGM,WH-002,2,4750,1312,2.69,0,5.73,3.66,1.94,2867.3,5696.81,High,Retail,Drum,83.1,Delayed,84.7,1.74,0.99,Flat Rack,358.66,2.73,0,0,1.45,873.22,0.551,40.0,1.25,90.3,2024-07-12,26.2,30.7,108.6,81.02,122.04,High,7,3,28,2024,0,Furniture,516
SHP-108600,1343,4.1,USA,Netherlands,Rail,Maersk,WH-007,4,2469,5121,2.36,0,3.55,4.41,2.53,1551.0,4491.52,Low,Government,Bulk,80.9,Delayed,83.7,1.08,5.57,Reefer,203.56,9.7,0,0,1.43,361.54,0.809,64.3,0.3,109.4,2021-12-07,6.3,11.1,14.5,95.28,99.36,Low,12,4,49,2021,1,Pharmaceuticals,155
SHP-111640,1472,4.38,Vietnam,France,Road,DHL,WH-020,2,646,599,1.04,0,1.83,3.75,2.4,4527.8,8932.42,Low,Retail,Crate,63.0,On Schedule,92.5,2.04,2.0,Flat Rack,1104.49,41.12,0,1,1.61,405.18,0.752,40.8,1.35,88.5,2022-07-03,5.1,7.7,32.4,328.87,211.54,Low,7,3,26,2022,1,Apparel,706
SHP-118830,1095,1.89,Germany,Japan,Road,CMA CGM,WH-012,3,3067,2240,1.98,0,2.96,3.4,2.51,1022.5,2023.25,Medium,Retail,Carton,47.6,On Schedule,91.5,1.25,0.65,40ft Dry,161.28,4.35,0,0,4.19,454.7,1.0,34.3,1.03,111.6,2021-10-17,9.6,12.8,41.1,65.22,46.99,Medium,10,4,41,2021,0,Food_Beverage,99
SHP-112562,1319,4.02,South Korea,USA,Road,DHL,WH-010,1,1416,5836,3.13,0,3.48,3.67,3.2,5608.4,8687.43,Medium,Retail,Bulk,86.0,On Schedule,83.6,0.48,0.36,40ft Dry,1782.56,18.73,0,1,0.15,455.47,0.765,34.4,3.35,94.1,2023-03-24,6.0,10.7,7.3,409.41,214.69,Low,3,1,12,2023,1,Industrial_Equipment,581
SHP-112751,1296,2.46,Germany,India,Air,FedEx,WH-019,2,3478,3612,2.7,1,5.72,2.68,2.63,3800.1,10929.85,High,Enterprise,Carton,64.0,On Schedule,84.5,1.6,0.45,Open Top,2043.94,9.91,0,1,2.18,598.86,0.847,57.1,4.57,118.3,2022-04-04,3.6,9.2,28.9,818.96,300.49,Medium,4,2,14,2022,1,Industrial_Equipment,861
SHP-106384,1264,1.78,Bangladesh,Germany,Sea,Kuehne+Nagel,WH-013,3,1968,581,2.47,0,5.49,2.8,1.93,6528.9,12019.54,Medium,Retail,Pallet,45.2,Delayed,87.5,1.38,0.75,Open Top,374.69,0.82,0,0,0.27,594.82,0.824,49.5,4.98,130.9,2021-06-30,28.7,32.0,101.6,137.5,254.14,Medium,6,2,26,2021,0,Electronics,519
SHP-104807,1172,2.98,Brazil,Canada,Rail,CMA CGM,WH-019,3,2535,4172,2.33,1,6.04,2.25,3.65,4203.5,16031.06,Low,Retail,Carton,84.3,On Schedule,99.5,1.4,5.85,Flat Rack,5029.91,2.97,0,0,0.59,904.92,1.0,47.7,3.11,97.7,2023-07-16,10.8,16.8,18.2,185.09,339.13,Low,7,3,28,2023,0,Automotive_Parts,2306
SHP-106195,1337,3.72,Vietnam,Canada,Sea,DHL,WH-016,4,4188,5178,0.66,0,3.62,3.44,2.1,5350.7,49467.03,Medium,Retail,Pallet,44.2,Delayed,89.5,1.02,0.5,Reefer,18.92,5.91,1,0,4.45,728.29,0.786,74.6,0.26,75.5,2022-02-24,29.1,31.2,24.3,135.53,1002.89,Low,2,1,8,2022,0,Food_Beverage,7
SHP-110648,1374,4.73,Mexico,Canada,Sea,Expeditors,WH-014,1,2765,2032,1.1,0,7.44,3.53,2.72,3431.7,23796.15,Medium,Enterprise,Pallet,90.5,Ahead of Schedule,76.4,0.06,1.3,Open Top,2407.63,16.88,0,0,3.78,443.53,1.0,35.1,1.51,116.0,2023-11-27,34.2,36.2,40.8,114.07,487.33,Low,11,4,48,2023,0,Food_Beverage,2514
SHP-107567,1393,3.2,India,Canada,Rail,Expeditors,WH-019,2,2415,2021,2.15,0,2.38,3.88,10.0,1866.6,13230.45,High,Retail,Pallet,73.2,On Schedule,93.2,2.06,1.0,Flat Rack,338.33,2.57,0,0,2.57,548.23,0.916,54.1,2.77,103.6,2024-12-25,13.7,25.6,35.8,102.81,274.89,Low,12,4,52,2024,1,Pharmaceuticals,80
SHP-116397,1384,4.7,Bangladesh,USA,Rail,Expeditors,WH-013,2,199,3805,2.75,0,7.26,3.45,4.3,2395.2,8358.73,Medium,Enterprise,Crate,61.4,On Schedule,94.7,2.03,5.67,40ft Dry,161.52,2.32,0,1,0.89,410.08,0.887,62.1,3.9,109.4,2024-11-04,13.1,21.8,1.6,112.32,178.41,Low,11,4,45,2024,1,Food_Beverage,220
SHP-117524,1109,3.51,Bangladesh,Canada,Road,Expeditors,WH-016,2,1733,5686,3.3,0,4.22,2.02,6.63,6054.5,8616.08,High,Government,Carton,66.1,On Schedule,,0.17,2.64,20ft Dry,467.76,11.65,1,1,0.38,675.47,0.904,55.5,0.64,106.2,2022-05-13,4.0,10.6,9.1,222.49,194.57,Low,5,2,19,2022,1,Food_Beverage,100
SHP-101346,1185,4.0,Japan,Germany,Sea,Maersk,WH-012,1,219,167,1.12,0,6.77,3.41,1.15,4137.1,4335.16,Critical,Government,Bulk,100.0,On Schedule,90.2,0.76,0.69,Open Top,1721.74,14.94,0,0,2.88,613.3,0.841,54.4,2.19,116.0,2024-06-13,38.5,39.5,39.3,121.0,98.8,Low,6,2,24,2024,0,Pharmaceuticals,1820
SHP-113124,1007,3.47,South Korea,Canada,Road,DB Schenker,WH-013,1,2848,5887,3.43,0,5.46,3.0,,2561.5,48887.25,Medium,Retail,Bulk,66.4,Ahead of Schedule,92.8,0.33,3.56,20ft Dry,2786.38,4.18,0,1,3.23,592.15,0.989,39.9,0.26,83.2,2024-10-07,10.9,19.4,14.5,194.61,997.21,Low,10,4,41,2024,1,Furniture,649
SHP-112673,1074,3.47,China,Australia,Rail,Expeditors,WH-012,1,2395,3836,0.35,0,3.85,3.31,4.1,50.0,7582.59,Medium,Retail,Drum,69.2,On Schedule,77.5,0.02,0.63,Flat Rack,1319.53,6.93,0,1,3.96,771.55,0.831,4.7,2.02,108.1,2024-02-02,9.8,14.3,18.7,25.31,154.18,Low,2,1,5,2024,0,Automotive_Parts,289
SHP-115455,1403,3.17,Bangladesh,USA,Road,DB Schenker,WH-016,4,2031,5934,4.5,0,3.48,2.03,8.54,4966.7,1873.64,Low,Enterprise,Carton,58.9,On Schedule,100.0,0.2,1.61,Flat Rack,1869.45,19.78,1,0,2.53,466.03,0.831,55.9,1.39,109.5,2022-08-30,5.0,17.3,10.3,204.71,57.94,Medium,8,3,35,2022,1,Apparel,381
SHP-114001,1230,4.56,USA,India,Road,Expeditors,WH-015,2,3280,5873,1.27,1,5.05,4.53,5.76,4561.4,13764.63,Medium,Enterprise,Carton,77.4,On Schedule,87.0,1.11,2.82,Open Top,484.59,7.49,0,0,3.56,730.97,0.944,38.9,0.87,125.6,2023-02-11,8.2,15.0,16.8,380.14,313.31,Low,2,1,6,2023,1,Industrial_Equipment,118
SHP-118621,1308,3.38,Mexico,Canada,Road,CMA CGM,WH-016,2,2712,3326,2.95,0,6.84,2.95,1.85,2881.4,66232.54,Medium,Wholesale,Carton,71.6,On Schedule,,0.46,0.77,Open Top,545.94,14.14,1,0,8.18,720.0,0.747,57.0,0.36,104.6,2024-03-22,8.6,16.5,24.5,161.37,1340.79,Medium,3,1,12,2024,1,Industrial_Equipment,136
SHP-102119,1420,2.66,Brazil,India,Sea,DB Schenker,WH-009,1,2132,2516,3.09,0,5.56,2.46,4.38,4416.0,12012.7,Medium,Wholesale,Drum,79.5,On Schedule,87.8,0.16,4.08,Open Top,602.12,9.01,0,0,0.64,408.96,0.911,75.6,1.11,80.7,2021-05-18,16.7,22.2,25.4,84.23,248.68,Medium,5,2,20,2021,0,Apparel,178
SHP-115304,1054,4.22,Vietnam,Canada,Sea,Maersk,WH-006,1,2343,3587,0.88,0,4.9,3.08,1.46,5128.2,20867.42,Low,Government,Carton,70.7,On Schedule,78.3,2.79,0.94,Flat Rack,321.34,34.21,0,0,1.35,837.43,0.941,38.9,1.8,109.4,2023-04-17,27.2,27.1,19.6,119.05,429.25,Low,4,2,16,2023,0,Food_Beverage,80
SHP-104309,1349,3.82,South Korea,Australia,Rail,DHL,WH-015,2,3438,73,,0,6.29,3.24,9.68,1922.9,9497.47,Medium,Retail,Carton,70.3,On Schedule,94.3,1.0,0.41,Open Top,4864.35,16.74,1,0,0.76,312.97,0.592,44.6,1.64,113.7,2022-04-18,12.1,20.6,365.0,165.9,206.54,Medium,4,2,16,2022,1,Apparel,4400
SHP-104484,1109,3.69,Vietnam,Japan,Road,DHL,WH-016,0,3696,4120,3.51,0,3.65,2.01,0.86,4716.8,6551.68,Medium,Wholesale,Carton,64.8,On Schedule,86.7,1.51,0.34,Flat Rack,449.42,52.1,0,0,2.02,711.85,0.891,49.0,5.31,111.5,2023-08-02,3.9,8.9,26.9,173.68,148.4,Low,8,3,31,2023,1,Food_Beverage,154
SHP-111013,1128,,Bangladesh,UAE,Sea,UPS,WH-013,2,371,4515,2.33,0,6.37,3.27,1.82,3387.8,10495.85,Low,Retail,Pallet,84.1,Ahead of Schedule,89.6,0.96,2.72,20ft Dry,614.03,3.51,0,0,0.79,479.39,0.751,23.3,0.19,105.3,2023-03-12,20.2,21.9,2.5,87.36,218.65,Medium,3,1,10,2023,0,Electronics,218
SHP-104770,1053,2.38,Bangladesh,Germany,Rail,CMA CGM,WH-016,5,3217,2822,0.79,0,2.94,3.41,4.53,4188.7,4457.86,Critical,Wholesale,Carton,100.0,On Schedule,75.5,1.15,,20ft Dry,1612.69,5.4,0,0,1.76,755.92,0.707,29.2,1.15,122.9,2021-12-18,10.8,15.4,34.2,218.16,110.97,Medium,12,4,50,2021,0,Food_Beverage,370
SHP-102712,1222,3.9,Mexico,Australia,Sea,Maersk,WH-010,3,3640,2484,2.8,0,5.56,2.61,0.69,5278.6,12859.52,Low,Government,Bulk,69.9,On Schedule,96.3,2.45,1.33,Reefer,2327.0,11.01,1,1,0.67,325.9,0.897,57.8,3.66,106.3,2022-08-21,19.2,22.0,44.0,119.17,269.11,Low,8,3,33,2022,0,Food_Beverage,901
SHP-112186,1166,4.53,USA,India,Air,Kuehne+Nagel,WH-007,0,1602,2265,3.81,0,5.64,3.97,6.2,4523.9,6153.41,Medium,Enterprise,Crate,78.3,On Schedule,87.6,1.31,0.4,40ft Dry,490.95,21.79,0,0,3.76,271.39,0.805,45.7,3.73,89.1,2023-03-29,5.2,16.9,21.2,1240.11,247.08,Low,3,1,13,2023,1,Food_Beverage,220
SHP-116615,1245,3.09,South Korea,Canada,Road,Expeditors,WH-010,2,2433,419,1.74,0,2.62,3.4,6.21,768.8,5365.79,High,Wholesale,Carton,91.9,Delayed,79.6,0.78,1.36,40ft Dry,446.59,1.48,0,0,2.46,430.99,0.805,51.0,3.19,79.5,2023-07-22,6.8,15.0,174.2,56.85,113.0,Medium,7,3,29,2023,1,Industrial_Equipment,132
SHP-110947,1226,2.09,Brazil,Canada,Road,UPS,WH-006,0,3724,3250,0.26,0,4.26,3.2,2.55,3142.2,5241.05,Medium,Enterprise,Pallet,87.1,On Schedule,93.7,0.35,1.41,Flat Rack,232.42,5.56,0,0,2.29,641.87,0.752,73.0,0.96,117.3,2022-01-13,5.1,6.4,34.4,182.69,123.09,Medium,1,1,2,2022,0,Pharmaceuticals,137
SHP-102545,1473,3.94,South Korea,UK,Sea,DB Schenker,WH-009,2,3898,5349,1.84,0,4.19,3.24,3.29,3044.6,10249.45,Low,Enterprise,Drum,60.8,Delayed,85.2,0.05,0.04,Open Top,380.92,31.55,0,0,1.61,658.75,0.75,54.8,5.5,87.2,2024-05-12,30.1,35.8,21.9,76.16,212.6,Low,5,2,19,2024,0,Industrial_Equipment,337
SHP-112619,1187,3.79,Vietnam,USA,Road,FedEx,WH-020,2,1299,4785,3.55,0,7.75,3.19,1.61,1121.0,31081.39,Low,Retail,Carton,72.3,On Schedule,89.6,0.04,0.66,40ft Dry,1691.21,7.48,0,0,0.16,364.68,0.851,28.0,2.55,90.5,2023-10-28,10.8,13.2,8.1,101.19,631.75,Low,10,4,43,2023,0,Automotive_Parts,638
SHP-109851,1042,2.41,Japan,Australia,Rail,DHL,WH-015,1,1697,2202,0.46,0,4.97,3.9,3.97,6037.4,16354.52,High,Enterprise,Bulk,59.4,Delayed,,2.13,1.32,20ft Dry,3571.11,12.99,0,0,3.94,346.65,0.847,18.6,4.42,106.1,2024-01-15,5.6,12.2,23.1,385.37,365.63,Medium,1,1,3,2024,1,Food_Beverage,1503
SHP-104410,1240,,Germany,USA,Sea,Kuehne+Nagel,WH-020,4,746,5897,3.44,0,7.11,4.14,2.46,4506.4,33076.26,Low,Government,Carton,62.5,On Schedule,93.4,3.89,8.98,Flat Rack,778.37,1.36,0,0,1.34,382.25,0.691,42.3,3.05,81.2,2021-06-11,28.1,39.1,3.8,146.66,676.19,Medium,6,2,23,2021,1,Consumer_Goods,503
SHP-119647,1101,3.23,China,UAE,Sea,Maersk,WH-017,0,1832,3912,1.6,1,0.34,3.72,,4318.1,862.72,Medium,Government,Drum,100.0,On Schedule,97.8,0.21,0.01,Reefer,3224.54,6.97,0,1,1.15,650.93,0.888,32.5,3.48,96.3,2024-03-16,30.1,31.9,14.0,153.39,32.59,Low,3,1,11,2024,0,Pharmaceuticals,1497
SHP-112344,1439,3.3,India,UK,Road,FedEx,WH-018,2,4909,2564,0.46,0,5.44,2.19,4.81,1252.2,7960.2,Medium,Government,Crate,71.2,On Schedule,63.2,0.42,2.47,Flat Rack,330.92,8.83,0,1,3.45,508.49,0.848,41.2,2.33,124.3,2023-12-26,7.6,13.3,57.4,53.51,164.56,Low,12,4,52,2023,0,Consumer_Goods,154
SHP-112407,1126,4.0,India,UAE,Sea,Maersk,WH-010,1,1015,2370,3.02,1,4.9,3.91,6.68,1063.2,15196.37,High,Government,Bulk,47.7,On Schedule,71.9,2.87,4.25,Flat Rack,1005.4,9.04,0,0,3.05,299.5,0.872,32.4,3.21,99.4,2021-06-15,26.8,39.1,12.8,42.13,308.14,Low,6,2,24,2021,0,Consumer_Goods,509
SHP-109610,1195,4.43,South Korea,Japan,Road,DHL,WH-014,3,3634,3669,4.91,0,2.76,2.42,8.34,3488.7,39830.46,Medium,Government,Crate,65.6,On Schedule,91.4,2.34,0.17,Open Top,954.14,7.48,0,0,4.89,415.23,0.914,42.3,1.31,114.2,2023-11-25,5.9,20.2,29.7,165.29,813.14,Low,11,4,47,2023,1,Electronics,432
SHP-110718,1279,3.02,Bangladesh,UK,Air,Expeditors,WH-002,3,4512,2565,3.05,0,3.33,2.79,6.5,4664.6,4787.0,Low,Enterprise,Crate,77.8,On Schedule,100.0,0.46,2.67,40ft Dry,2075.19,6.11,0,0,1.17,291.41,0.727,35.1,7.07,97.3,2022-04-16,3.7,16.4,52.8,1014.49,197.19,Medium,4,2,15,2022,1,Apparel,579
SHP-107571,1214,3.37,China,Germany,Road,Maersk,WH-020,1,2099,2183,3.3,0,4.17,3.64,5.95,4380.3,11100.73,Medium,Wholesale,Drum,68.8,On Schedule,88.3,0.97,1.1,Open Top,894.95,8.62,0,1,3.69,490.53,1.0,37.8,1.49,106.5,2023-08-23,5.7,13.9,28.8,304.36,252.45,Low,8,3,34,2023,1,Apparel,487
SHP-103570,1352,3.77,South Korea,UAE,Road,Expeditors,WH-001,2,1131,814,2.58,0,2.51,4.47,0.7,2438.3,16422.09,High,Retail,Carton,69.8,On Schedule,100.0,1.2,1.65,20ft Dry,222.68,28.24,1,1,2.13,331.73,0.824,35.2,1.34,98.8,2024-07-31,3.2,5.2,41.7,199.37,348.38,Low,7,3,31,2024,0,Electronics,47
SHP-108602,1135,3.53,Bangladesh,Netherlands,Sea,FedEx,WH-005,4,2150,4004,0.73,1,5.05,2.96,9.9,5388.1,51754.3,Critical,Retail,Carton,59.3,Delayed,83.1,0.95,2.74,Open Top,3080.2,5.61,1,0,1.35,422.02,0.872,80.3,3.97,100.7,2021-07-16,16.7,27.2,16.1,144.09,1049.5,Low,7,3,28,2021,1,Pharmaceuticals,666
SHP-103559,1420,2.51,South Korea,France,Rail,Expeditors,WH-011,3,2931,4077,8.85,0,4.16,3.94,0.71,6798.2,2505.9,Low,Retail,Drum,56.6,On Schedule,79.0,0.24,0.4,Reefer,841.14,8.31,1,0,2.06,694.08,0.931,66.4,3.66,73.0,2022-10-01,7.0,16.4,21.6,372.05,87.32,Medium,10,4,39,2022,1,Industrial_Equipment,316
SHP-104991,1296,4.49,South Korea,Japan,Road,Expeditors,WH-020,1,3756,2145,0.15,0,3.34,4.09,0.96,6470.4,10769.54,Low,Wholesale,Crate,85.9,Delayed,84.5,1.58,0.11,20ft Dry,91.31,30.62,0,0,1.94,298.76,0.749,39.7,3.3,103.8,2024-01-23,8.6,9.0,52.5,469.65,262.36,Low,1,1,4,2024,0,Industrial_Equipment,46
SHP-107439,1174,4.05,Brazil,UK,Road,DB Schenker,WH-008,1,3825,3863,5.66,0,5.2,2.8,0.52,6037.9,4358.94,High,Retail,Pallet,66.5,Delayed,,0.29,0.06,Reefer,1988.18,14.03,0,1,1.74,358.7,0.856,60.1,3.98,103.7,2022-12-19,7.1,12.6,29.7,337.64,120.94,Low,12,4,51,2022,1,Pharmaceuticals,683
SHP-109325,1244,4.71,Japan,USA,Rail,DHL,WH-015,2,2695,3844,1.78,0,5.05,3.91,1.87,50.0,16625.26,Medium,Enterprise,Crate,85.0,On Schedule,88.2,1.26,0.22,Open Top,5420.73,6.93,0,1,2.04,586.91,0.863,33.1,1.14,107.5,2022-12-04,9.6,11.0,21.0,114.8,343.99,Low,12,4,48,2022,0,Food_Beverage,1255
SHP-102300,1213,3.53,USA,France,Road,DHL,WH-020,1,148,2222,0.84,0,6.24,2.72,5.84,2019.9,34537.16,Low,Government,Carton,91.6,On Schedule,76.8,0.37,0.58,Flat Rack,482.92,30.56,0,0,1.11,634.62,0.79,24.5,3.42,110.8,2023-07-09,8.4,13.6,2.0,106.23,701.37,Medium,7,3,27,2023,0,Consumer_Goods,141
SHP-107666,1386,3.58,India,UAE,Road,Kuehne+Nagel,WH-009,1,4722,612,1.16,0,3.44,3.24,2.25,50.0,17332.1,Low,Government,Drum,94.9,On Schedule,65.8,3.36,2.93,Flat Rack,1908.22,2.79,0,0,8.8,765.79,0.88,32.5,6.94,118.9,2022-06-06,5.7,18.1,231.5,46.5,351.29,Low,6,2,23,2022,1,Electronics,463
SHP-105804,1071,1.79,Japan,Netherlands,Rail,Maersk,WH-002,0,108,5102,1.89,0,5.29,2.56,0.35,5465.6,5791.46,High,Wholesale,Drum,78.9,On Schedule,80.5,0.25,2.07,20ft Dry,2915.98,2.05,0,1,6.0,388.51,0.761,60.3,2.31,136.6,2024-06-22,12.5,17.7,0.6,224.71,138.3,Medium,6,2,25,2024,0,Food_Beverage,1006
SHP-112022,1326,4.02,Brazil,Canada,Sea,DHL,WH-008,2,420,1724,4.38,0,4.2,3.12,3.95,7023.2,3252.81,Critical,Government,Carton,92.5,Ahead of Schedule,89.4,2.83,0.09,Open Top,1166.03,9.58,0,0,1.58,514.91,0.983,54.8,1.76,87.4,2023-10-12,30.3,36.5,7.3,171.82,82.24,Low,10,4,41,2023,0,Consumer_Goods,348
SHP-115537,1016,4.03,Vietnam,USA,Air,UPS,WH-015,2,4230,3352,1.21,0,5.52,3.46,4.02,1687.9,24285.92,High,Retail,Pallet,75.4,On Schedule,88.3,1.1,,Open Top,852.24,0.76,0,1,2.3,678.56,0.822,55.6,3.66,104.5,2021-03-16,5.1,10.4,37.9,464.53,532.17,Low,3,1,11,2021,1,Industrial_Equipment,474
SHP-109757,1205,3.73,South Korea,UAE,Rail,Kuehne+Nagel,WH-020,3,1714,4414,0.07,0,1.19,3.65,1.33,4360.7,3344.18,Medium,Retail,Drum,92.9,Delayed,91.8,0.39,2.43,Reefer,200.09,3.65,0,0,6.74,703.64,0.833,59.6,0.97,107.2,2024-08-20,11.3,14.7,11.6,214.53,88.34,Low,8,3,34,2024,0,Consumer_Goods,53
SHP-112014,1005,4.75,USA,France,Sea,Maersk,WH-019,2,2408,4632,1.28,0,5.04,4.01,1.44,1544.0,10919.79,Medium,Enterprise,Drum,80.2,On Schedule,88.2,2.11,1.86,Reefer,120.0,8.66,0,0,0.39,556.91,0.885,34.2,0.89,64.4,2023-05-25,24.1,23.7,15.6,46.94,223.09,Low,5,2,21,2023,0,Consumer_Goods,85
SHP-105211,1037,3.24,Brazil,Japan,Sea,Kuehne+Nagel,WH-019,2,2363,4041,5.34,1,6.19,3.54,8.27,6237.6,7590.2,Medium,Retail,Carton,87.5,On Schedule,71.6,0.38,2.14,Open Top,2602.23,3.66,0,0,1.54,548.8,1.0,55.0,3.65,83.2,2023-04-01,25.1,38.2,17.5,189.45,170.75,Low,4,2,13,2023,1,Electronics,718
